Dateiname;Ort;Kategorie/Signatur;Typ;Datum;Nummer;Format;Dateigröße
Kaiserglocke, Gaststätte_Speisen-Karte_24.09.1937;Kaiserglocke, Gaststätte;;Speisen-Karte;24.09.1937;;DIR;24,250 MB
Kaiserglocke, Gaststätte_Speisen-Karte_24.09.1937_01.jpg;Kaiserglocke, Gaststätte;;Speisen-Karte;24.09.1937;1;JPG;15,189 MB
Kaiserglocke, Gaststätte_Speisen-Karte_24.09.1937_02.jpg;Kaiserglocke, Gaststätte;;Speisen-Karte;24.09.1937;2;JPG;9,062 MB
Kaiserhof;Kaiserhof;;;;;DIR;37,153 MB
Kaiserhof, Café Restaurant Hotel_Speisen-Karte_27.08.1938;Kaiserhof, Café Restaurant Hotel;;Speisen-Karte;27.08.1938;;DIR;37,153 MB
Kaiserhof, Café Restaurant Hotel_Speisen-Karte_27.08.1938_01.jpg;Kaiserhof, Café Restaurant Hotel;;Speisen-Karte;27.08.1938;1;JPG;11,747 MB
Kaiserhof, Café Restaurant Hotel_Speisen-Karte_27.08.1938_02.jpg;Kaiserhof, Café Restaurant Hotel;;Speisen-Karte;27.08.1938;2;JPG;9,436 MB
Kaiserhof, Café Restaurant Hotel_Speisen-Karte_27.08.1938_03.jpg;Kaiserhof, Café Restaurant Hotel;;Speisen-Karte;27.08.1938;3;JPG;9,445 MB
Kaiserhof, Café Restaurant Hotel_Speisen-Karte_27.08.1938_04.jpg;Kaiserhof, Café Restaurant Hotel;;Speisen-Karte;27.08.1938;4;JPG;6,526 MB
Karikatu;Karikatu;;;;;DIR;27,580 MB
Karikatu, Dresdner Kunstgenossenschaft_Speisen und Weinkarte_ca. 1935;Karikatu, Dresdner Kunstgenossenschaft;;Speisen und Weinkarte;ca. 1935;;DIR;27,580 MB
Karikatu, Dresdner Kunstgenossenschaft_Speisen und Weinkarte_ca. 1935_01.jpg;Karikatu, Dresdner Kunstgenossenschaft;;Speisen und Weinkarte;ca. 1935;1;JPG;10,871 MB
Karikatu, Dresdner Kunstgenossenschaft_Speisen und Weinkarte_ca. 1935_02.jpg;Karikatu, Dresdner Kunstgenossenschaft;;Speisen und Weinkarte;ca. 1935;2;JPG;7,822 MB
Karikatu, Dresdner Kunstgenossenschaft_Speisen und Weinkarte_ca. 1935_03.jpg;Karikatu, Dresdner Kunstgenossenschaft;;Speisen und Weinkarte;ca. 1935;3;JPG;8,887 MB
Klösterl, Restaurant zum_Speisenkarte_20.10.1988;Klösterl, Restaurant zum;;Speisenkarte;20.10.1988;;DIR;133,830 MB
Klösterl, Restaurant zum_Speisenkarte_20.10.1988_01.jpg;Klösterl, Restaurant zum;;Speisenkarte;20.10.1988;1;JPG;15,690 MB
Klösterl, Restaurant zum_Speisenkarte_20.10.1988_02.jpg;Klösterl, Restaurant zum;;Speisenkarte;20.10.1988;2;JPG;14,293 MB
Klösterl, Restaurant zum_Speisenkarte_20.10.1988_03.jpg;Klösterl, Restaurant zum;;Speisenkarte;20.10.1988;3;JPG;15,595 MB
Klösterl, Restaurant zum_Speisenkarte_20.10.1988_04.jpg;Klösterl, Restaurant zum;;Speisenkarte;20.10.1988;4;JPG;11,797 MB
Klösterl, Restaurant zum_Speisenkarte_20.10.1988_05.jpg;Klösterl, Restaurant zum;;Speisenkarte;20.10.1988;5;JPG;15,500 MB
Klösterl, Restaurant zum_Speisenkarte_20.10.1988_06.jpg;Klösterl, Restaurant zum;;Speisenkarte;20.10.1988;6;JPG;14,874 MB
Klösterl, Restaurant zum_Speisenkarte_20.10.1988_07.jpg;Klösterl, Restaurant zum;;Speisenkarte;20.10.1988;7;JPG;15,745 MB
Klösterl, Restaurant zum_Speisenkarte_20.10.1988_08.jpg;Klösterl, Restaurant zum;;Speisenkarte;20.10.1988;8;JPG;14,504 MB
Klösterl, Restaurant zum_Speisenkarte_20.10.1988_09.jpg;Klösterl, Restaurant zum;;Speisenkarte;20.10.1988;9;JPG;15,831 MB
Klösterl, Zum;Klösterl, Zum;;;;;DIR;133,830 MB
Kriegs-Speisenkarten München, ohne Nennung der Gaststätte_08.03.1943;Kriegs-Speisenkarten München;;Kriegs-Speisenkarten München;08.03.1943;;DIR;7,181 MB
Kriegs-Speisenkarten München, ohne Nennung der Gaststätte_08.03.1943_01.jpg;Kriegs-Speisenkarten München;;Kriegs-Speisenkarten München;08.03.1943;1;JPG;7,181 MB
Kriegs-Speisenkarten München, ohne Nennung der Gaststätte_14.03.1943;Kriegs-Speisenkarten München;;Kriegs-Speisenkarten München;14.03.1943;;DIR;5,075 MB
Kriegs-Speisenkarten München, ohne Nennung der Gaststätte_14.03.1943_01.jpg;Kriegs-Speisenkarten München;;Kriegs-Speisenkarten München;14.03.1943;1;JPG;5,075 MB
Kriegs-Speisenkarten München, ohne Nennung der Gaststätte_16.12.1942;Kriegs-Speisenkarten München;;Kriegs-Speisenkarten München;16.12.1942;;DIR;12,535 MB
Kriegs-Speisenkarten München, ohne Nennung der Gaststätte_16.12.1942_01.jpg;Kriegs-Speisenkarten München;;Kriegs-Speisenkarten München;16.12.1942;1;JPG;12,535 MB
Kriegs-Speisenkarten München, ohne Nennung der Gaststätte_F Mon 3500_17.10.1918;Kriegs-Speisenkarten München;F Mon 3500;Kriegs-Speisenkarten München;17.10.1918;;DIR;35,357 MB
Kriegs-Speisenkarten München, ohne Nennung der Gaststätte_F Mon 3500_17.10.1918_01.jpg;Kriegs-Speisenkarten München;F Mon 3500;Kriegs-Speisenkarten München;17.10.1918;1;JPG;8,270 MB
Kriegs-Speisenkarten München, ohne Nennung der Gaststätte_F Mon 3500_17.10.1918_02.jpg;Kriegs-Speisenkarten München;F Mon 3500;Kriegs-Speisenkarten München;17.10.1918;2;JPG;18,011 MB
Kriegs-Speisenkarten München, ohne Nennung der Gaststätte_F Mon 3500_17.10.1918_03.jpg;Kriegs-Speisenkarten München;F Mon 3500;Kriegs-Speisenkarten München;17.10.1918;3;JPG;9,077 MB
Kriegs-Speisenkarten München, ohne Zuordnung;Kriegs-Speisenkarten München;;Kriegs-Speisenkarten München;;;DIR;60,149 MB
Künstlerhaus;Künstlerhaus;;;;;DIR;192,148 MB
Künstlerhaus, München, Lenbachplatz 8_Café, Konditorei_ca. 1968;Künstlerhaus, München, Lenbachplatz 8 - Café, Konditorei;;;ca. 1968;;DIR;76,446 MB
Künstlerhaus, München, Lenbachplatz 8_Café, Konditorei_ca. 1968_01.jpg;Künstlerhaus, München, Lenbachplatz 8 - Café, Konditorei;;;ca. 1968;1;JPG;11,259 MB
Künstlerhaus, München, Lenbachplatz 8_Café, Konditorei_ca. 1968_02.jpg;Künstlerhaus, München, Lenbachplatz 8 - Café, Konditorei;;;ca. 1968;2;JPG;6,836 MB
Künstlerhaus, München, Lenbachplatz 8_Café, Konditorei_ca. 1968_03.jpg;Künstlerhaus, München, Lenbachplatz 8 - Café, Konditorei;;;ca. 1968;3;JPG;7,946 MB
Künstlerhaus, München, Lenbachplatz 8_Café, Konditorei_ca. 1968_04.jpg;Künstlerhaus, München, Lenbachplatz 8 - Café, Konditorei;;;ca. 1968;4;JPG;7,332 MB
Künstlerhaus, München, Lenbachplatz 8_Café, Konditorei_ca. 1968_05.jpg;Künstlerhaus, München, Lenbachplatz 8 - Café, Konditorei;;;ca. 1968;5;JPG;6,471 MB
Künstlerhaus, München, Lenbachplatz 8_Café, Konditorei_ca. 1968_06.jpg;Künstlerhaus, München, Lenbachplatz 8 - Café, Konditorei;;;ca. 1968;6;JPG;6,796 MB
Künstlerhaus, München, Lenbachplatz 8_Café, Konditorei_ca. 1968_07.jpg;Künstlerhaus, München, Lenbachplatz 8 - Café, Konditorei;;;ca. 1968;7;JPG;6,817 MB
Künstlerhaus, München, Lenbachplatz 8_Café, Konditorei_ca. 1968_08.jpg;Künstlerhaus, München, Lenbachplatz 8 - Café, Konditorei;;;ca. 1968;8;JPG;7,711 MB
Künstlerhaus, München, Lenbachplatz 8_Café, Konditorei_ca. 1968_09.jpg;Künstlerhaus, München, Lenbachplatz 8 - Café, Konditorei;;;ca. 1968;9;JPG;7,583 MB
Künstlerhaus, München, Lenbachplatz 8_Café, Konditorei_ca. 1968_10.jpg;Künstlerhaus, München, Lenbachplatz 8 - Café, Konditorei;;;ca. 1968;10;JPG;7,695 MB
Künstlerhaus, München, Lenbachplatz 8_Menu_10.01.1911;Künstlerhaus, München, Lenbachplatz 8;;Menu;10.01.1911;;DIR;8,205 MB
Künstlerhaus, München, Lenbachplatz 8_Menu_10.01.1911_01.jpg;Künstlerhaus, München, Lenbachplatz 8;;Menu;10.01.1911;1;JPG;8,205 MB
Künstlerhaus, München, Lenbachplatz 8_Menu_12.06.1912;Künstlerhaus, München, Lenbachplatz 8;;Menu;12.06.1912;;DIR;9,194 MB
Künstlerhaus, München, Lenbachplatz 8_Menu_12.06.1912_01.jpg;Künstlerhaus, München, Lenbachplatz 8;;Menu;12.06.1912;1;JPG;9,194 MB
Künstlerhaus, München, Lenbachplatz 8_Speisekarte_ca. 1975;Künstlerhaus, München, Lenbachplatz 8;;Speisekarte;ca. 1975;;DIR;15,052 MB
Künstlerhaus, München, Lenbachplatz 8_Speisekarte_ca. 1975_01.jpg;Künstlerhaus, München, Lenbachplatz 8;;Speisekarte;ca. 1975;1;JPG;6,254 MB
Künstlerhaus, München, Lenbachplatz 8_Speisekarte_ca. 1975_02.jpg;Künstlerhaus, München, Lenbachplatz 8;;Speisekarte;ca. 1975;2;JPG;8,798 MB
Künstlerhaus, München, Lenbachplatz 8_Speisen-Karte_ca. 1968;Künstlerhaus, München, Lenbachplatz 8;;Speisen-Karte;ca. 1968;;DIR;26,875 MB
Künstlerhaus, München, Lenbachplatz 8_Speisen-Karte_ca. 1968_01.jpg;Künstlerhaus, München, Lenbachplatz 8;;Speisen-Karte;ca. 1968;1;JPG;13,814 MB
Künstlerhaus, München, Lenbachplatz 8_Speisen-Karte_ca. 1968_02.jpg;Künstlerhaus, München, Lenbachplatz 8;;Speisen-Karte;ca. 1968;2;JPG;13,061 MB
Künstlerhaus, München, Lenbachplatz 8_Speisen-Karte_ca. 1972;Künstlerhaus, München, Lenbachplatz 8;;Speisen-Karte;ca. 1972;;DIR;20,715 MB
Künstlerhaus, München, Lenbachplatz 8_Speisen-Karte_ca. 1972_01.jpg;Künstlerhaus, München, Lenbachplatz 8;;Speisen-Karte;ca. 1972;1;JPG;12,244 MB
Künstlerhaus, München, Lenbachplatz 8_Speisen-Karte_ca. 1972_02.jpg;Künstlerhaus, München, Lenbachplatz 8;;Speisen-Karte;ca. 1972;2;JPG;8,471 MB
Künstlerhaus, München, Lenbachplatz 8_Standardkarte 1_1968;Künstlerhaus, München, Lenbachplatz 8;;Standardkarte 1;21.05.1905;;DIR;3,398 MB
Künstlerhaus, München, Lenbachplatz 8_Standardkarte 1_1968_01.jpg;Künstlerhaus, München, Lenbachplatz 8;;Standardkarte 1;21.05.1905;1;JPG;3,398 MB
Künstlerhaus, München, Lenbachplatz 8_Standardkarte 2_1968;Künstlerhaus, München, Lenbachplatz 8;;Standardkarte 2;21.05.1905;;DIR;3,738 MB
Künstlerhaus, München, Lenbachplatz 8_Standardkarte 2_1968_01.jpg;Künstlerhaus, München, Lenbachplatz 8;;Standardkarte 2;21.05.1905;1;JPG;3,738 MB
Künstlerhaus, München, Lenbachplatz 8_Weinkarte_ca. 1959;Künstlerhaus, München, Lenbachplatz 8;;Weinkarte;ca. 1959;;DIR;28,525 MB
Künstlerhaus, München, Lenbachplatz 8_Weinkarte_ca. 1959_01.jpg;Künstlerhaus, München, Lenbachplatz 8;;Weinkarte;ca. 1959;1;JPG;12,329 MB
Künstlerhaus, München, Lenbachplatz 8_Weinkarte_ca. 1959_02.jpg;Künstlerhaus, München, Lenbachplatz 8;;Weinkarte;ca. 1959;2;JPG;16,197 MB
Kurtz;Kurtz;;;;;DIR;67,831 MB
Kurtz, Weinrestaurant_F Mon 3407_Speisen-Karte_09.11.1915;Kurtz, Weinrestaurant;F Mon 3407;Speisen-Karte;09.11.1915;;DIR;18,356 MB
Kurtz, Weinrestaurant_F Mon 3407_Speisen-Karte_09.11.1915_01.jpg;Kurtz, Weinrestaurant;;Speisen-Karte;09.11.1915;1;JPG;9,629 MB
Kurtz, Weinrestaurant_F Mon 3407_Speisen-Karte_09.11.1915_02.jpg;Kurtz, Weinrestaurant;;Speisen-Karte;09.11.1915;2;JPG;8,727 MB
Kurtz, Weinrestaurant_F Mon 3467_Kriegs-Speisenkarte_17.12.1917;Kurtz, Weinrestaurant;F Mon 3467;Kriegs-Speisenkarte;17.12.1917;;DIR;32,379 MB
Kurtz, Weinrestaurant_F Mon 3467_Kriegs-Speisenkarte_17.12.1917_01.jpg;Kurtz, Weinrestaurant;;Kriegs-Speisenkarte;17.12.1917;1;JPG;8,087 MB
Kurtz, Weinrestaurant_F Mon 3467_Kriegs-Speisenkarte_17.12.1917_02.jpg;Kurtz, Weinrestaurant;;Kriegs-Speisenkarte;17.12.1917;2;JPG;15,369 MB
Kurtz, Weinrestaurant_F Mon 3467_Kriegs-Speisenkarte_17.12.1917_03.jpg;Kurtz, Weinrestaurant;;Kriegs-Speisenkarte;17.12.1917;3;JPG;8,923 MB
Kurtz, Weinrestaurant_Speisen-Karte_05.11.1915;Kurtz, Weinrestaurant;;Speisen-Karte;05.11.1915;;DIR;17,095 MB
Kurtz, Weinrestaurant_Speisen-Karte_05.11.1915_01.jpg;Kurtz, Weinrestaurant;;Speisen-Karte;05.11.1915;1;JPG;10,140 MB
Kurtz, Weinrestaurant_Speisen-Karte_05.11.1915_02.jpg;Kurtz, Weinrestaurant;;Speisen-Karte;05.11.1915;2;JPG;6,956 MB
Landsknecht, Gastwirtschaft zum_Speisekarte_15.07.1939;Landsknecht, Gastwirtschaft zum;;Speisekarte;15.07.1939;;DIR;53,975 MB
Landsknecht, Gastwirtschaft zum_Speisekarte_15.07.1939_01.jpg;Landsknecht, Gastwirtschaft zum;;Speisekarte;15.07.1939;1;JPG;12,622 MB
Landsknecht, Gastwirtschaft zum_Speisekarte_15.07.1939_02.jpg;Landsknecht, Gastwirtschaft zum;;Speisekarte;15.07.1939;2;JPG;29,464 MB
Landsknecht, Gastwirtschaft zum_Speisekarte_15.07.1939_03.jpg;Landsknecht, Gastwirtschaft zum;;Speisekarte;15.07.1939;3;JPG;11,888 MB
Landsknecht, Zum;Landsknecht, Zum;;;;;DIR;53,975 MB
Le Medoc;Le Medoc;;;;;DIR;95,827 MB
Le Medoc_Abendkarte_ca. 1980;Le Medoc;;Abendkarte;ca. 1980;;DIR;29,499 MB
Le Medoc_Abendkarte_ca. 1980_01.jpg;Le Medoc;;Abendkarte;ca. 1980;1;JPG;7,343 MB
Le Medoc_Abendkarte_ca. 1980_02.jpg;Le Medoc;;Abendkarte;ca. 1980;2;JPG;6,947 MB
Le Medoc_Abendkarte_ca. 1980_03.jpg;Le Medoc;;Abendkarte;ca. 1980;3;JPG;7,626 MB
Le Medoc_Abendkarte_ca. 1980_04.jpg;Le Medoc;;Abendkarte;ca. 1980;4;JPG;7,583 MB
Le Medoc_Tageskarte_ca. 1980;Le Medoc;;Tageskarte;ca. 1980;;DIR;35,544 MB
Le Medoc_Tageskarte_ca. 1980_01.jpg;Le Medoc;;Tageskarte;ca. 1980;1;JPG;6,755 MB
Le Medoc_Tageskarte_ca. 1980_02.jpg;Le Medoc;;Tageskarte;ca. 1980;2;JPG;7,326 MB
Le Medoc_Tageskarte_ca. 1980_03.jpg;Le Medoc;;Tageskarte;ca. 1980;3;JPG;6,712 MB
Le Medoc_Tageskarte_ca. 1980_04.jpg;Le Medoc;;Tageskarte;ca. 1980;4;JPG;7,286 MB
Le Medoc_Tageskarte_ca. 1980_05.jpg;Le Medoc;;Tageskarte;ca. 1980;5;JPG;7,465 MB
Le Medoc_Weinkarte_ca. 1980;Le Medoc;;Weinkarte;ca. 1980;;DIR;30,783 MB
Le Medoc_Weinkarte_ca. 1980_01.jpg;Le Medoc;;Weinkarte;ca. 1980;1;JPG;7,055 MB
Le Medoc_Weinkarte_ca. 1980_02.jpg;Le Medoc;;Weinkarte;ca. 1980;2;JPG;15,589 MB
Le Medoc_Weinkarte_ca. 1980_03.jpg;Le Medoc;;Weinkarte;ca. 1980;3;JPG;8,139 MB
Logenrestaurant;Logenrestaurant;;;;;DIR;6,263 MB
Logenrestaurant, Berlin-Steglitz, Albrechtstr. (vermutlich) Nr. 111 oder 114_Speisekarte_ca. 1910;Logenrestaurant, Berlin-Steglitz, Albrechtstr. (vermutlich) Nr. 111 oder 114;;Speisekarte;ca. 1910;;DIR;6,263 MB
Logenrestaurant, Berlin-Steglitz, Albrechtstr. (vermutlich) Nr. 111 oder 114_Speisekarte_ca. 1910_01.jpg;Logenrestaurant, Berlin-Steglitz, Albrechtstr. (vermutlich) Nr. 111 oder 114;;Speisekarte;ca. 1910;1;JPG;6,263 MB
Löwenbräu;Löwenbräu;;;;;DIR;179,695 MB
Löwenbräu, Festhalle_Speisenkarte_Oktoberfest ca. 1959;Löwenbräu, Festhalle;;Speisenkarte;Oktoberfest ca. 1959;;DIR;19,371 MB
Löwenbräu, Festhalle_Speisenkarte_Oktoberfest ca. 1959_01.jpg;Löwenbräu, Festhalle;;Speisenkarte;Oktoberfest ca. 1959;1;JPG;19,371 MB
Löwenbräu, Festhalle_Speisenkarte_Oktoberfest ca. 1961;Löwenbräu, Festhalle;;Speisenkarte;Oktoberfest ca. 1961;;DIR;21,016 MB
Löwenbräu, Festhalle_Speisenkarte_Oktoberfest ca. 1961_01.jpg;Löwenbräu, Festhalle;;Speisenkarte;Oktoberfest ca. 1961;1;JPG;21,016 MB
Löwenbräu-Keller_Abend-Speisen-Karte_1906;Löwenbräu-Keller;;Abend-Speisen-Karte;20.03.1905;;DIR;71,729 MB
Löwenbräu-Keller_Abend-Speisen-Karte_1906_01.jpg;Löwenbräu-Keller;;Abend-Speisen-Karte;20.03.1905;1;JPG;20,279 MB
Löwenbräu-Keller_Abend-Speisen-Karte_1906_02.jpg;Löwenbräu-Keller;;Abend-Speisen-Karte;20.03.1905;2;JPG;32,960 MB
Löwenbräu-Keller_Abend-Speisen-Karte_1906_03.jpg;Löwenbräu-Keller;;Abend-Speisen-Karte;20.03.1905;3;JPG;18,490 MB
Löwenbräukeller_Speisenkarte und Weinkarte_21.09.1959;Löwenbräukeller;;Speisenkarte und Weinkarte;21.09.1959;;DIR;67,579 MB
Löwenbräukeller_Speisenkarte und Weinkarte_21.09.1959_01.jpg;Löwenbräukeller;;Speisenkarte und Weinkarte;21.09.1959;1;JPG;8,622 MB
Löwenbräukeller_Speisenkarte und Weinkarte_21.09.1959_02.jpg;Löwenbräukeller;;Speisenkarte und Weinkarte;21.09.1959;2;JPG;15,144 MB
Löwenbräukeller_Speisenkarte und Weinkarte_21.09.1959_03.jpg;Löwenbräukeller;;Speisenkarte und Weinkarte;21.09.1959;3;JPG;6,998 MB
Löwenbräukeller_Speisenkarte und Weinkarte_21.09.1959_04.jpg;Löwenbräukeller;;Speisenkarte und Weinkarte;21.09.1959;4;JPG;6,265 MB
Löwenbräukeller_Speisenkarte und Weinkarte_21.09.1959_05.jpg;Löwenbräukeller;;Speisenkarte und Weinkarte;21.09.1959;5;JPG;5,365 MB
Löwenbräukeller_Speisenkarte und Weinkarte_21.09.1959_06.jpg;Löwenbräukeller;;Speisenkarte und Weinkarte;21.09.1959;6;JPG;6,440 MB
Löwenbräukeller_Speisenkarte und Weinkarte_21.09.1959_07.jpg;Löwenbräukeller;;Speisenkarte und Weinkarte;21.09.1959;7;JPG;6,070 MB
Löwenbräukeller_Speisenkarte und Weinkarte_21.09.1959_08.jpg;Löwenbräukeller;;Speisenkarte und Weinkarte;21.09.1959;8;JPG;6,659 MB
Löwenbräukeller_Speisenkarte und Weinkarte_21.09.1959_09.jpg;Löwenbräukeller;;Speisenkarte und Weinkarte;21.09.1959;9;JPG;6,018 MB
Märzen Keller;Märzen Keller;;;;;DIR;33,368 MB
Märzen Keller_Speisen-Karte_27.08.1938;Märzen Keller;;Speisen-Karte;27.08.1938;;DIR;33,368 MB
Märzen Keller_Speisen-Karte_27.08.1938_01.jpg;Märzen Keller;;Speisen-Karte;27.08.1938;1;JPG;9,316 MB
Märzen Keller_Speisen-Karte_27.08.1938_02.jpg;Märzen Keller;;Speisen-Karte;27.08.1938;2;JPG;15,343 MB
Märzen Keller_Speisen-Karte_27.08.1938_03.jpg;Märzen Keller;;Speisen-Karte;27.08.1938;3;JPG;8,708 MB
Mathäser;Mathäser;;;;;DIR;436,465 MB
Mathäser Festsaal_Speisen und Getränkekarte_ca. 1960;Mathäser Festsaal;;Speisen und Getränkekarte;ca. 1960;;DIR;32,391 MB
Mathäser Festsaal_Speisen und Getränkekarte_ca. 1960_01.jpg;Mathäser Festsaal;;Speisen und Getränkekarte;ca. 1960;1;JPG;12,931 MB
Mathäser Festsaal_Speisen und Getränkekarte_ca. 1960_02.jpg;Mathäser Festsaal;;Speisen und Getränkekarte;ca. 1960;2;JPG;5,813 MB
Mathäser Festsaal_Speisen und Getränkekarte_ca. 1960_03.jpg;Mathäser Festsaal;;Speisen und Getränkekarte;ca. 1960;3;JPG;5,350 MB
Mathäser Festsaal_Speisen und Getränkekarte_ca. 1960_04.jpg;Mathäser Festsaal;;Speisen und Getränkekarte;ca. 1960;4;JPG;8,298 MB
Mathäser Weißbierhalle_Speisen-Karte_24.12.1942;Mathäser Weißbierhalle;;Speisen-Karte;24.12.1942;;DIR;10,466 MB
Mathäser Weißbierhalle_Speisen-Karte_24.12.1942_01.jpg;Mathäser Weißbierhalle;;Speisen-Karte;24.12.1942;1;JPG;5,338 MB
Mathäser Weißbierhalle_Speisen-Karte_24.12.1942_02.jpg;Mathäser Weißbierhalle;;Speisen-Karte;24.12.1942;2;JPG;5,128 MB
Mathäser Weißbierhalle_Speisen-Karte_25.12.1942;Mathäser Weißbierhalle;;Speisen-Karte;25.12.1942;;DIR;10,555 MB
Mathäser Weißbierhalle_Speisen-Karte_25.12.1942_01.jpg;Mathäser Weißbierhalle;;Speisen-Karte;25.12.1942;1;JPG;4,397 MB
Mathäser Weißbierhalle_Speisen-Karte_25.12.1942_02.jpg;Mathäser Weißbierhalle;;Speisen-Karte;25.12.1942;2;JPG;6,158 MB
Mathäser Weißbierhalle_Speisenkarte_27.08.1938;Mathäser Weißbierhalle;;Speisenkarte;27.08.1938;;DIR;50,230 MB
Mathäser Weißbierhalle_Speisenkarte_27.08.1938_01.jpg;Mathäser Weißbierhalle;;Speisenkarte;27.08.1938;1;JPG;13,309 MB
Mathäser Weißbierhalle_Speisenkarte_27.08.1938_02.jpg;Mathäser Weißbierhalle;;Speisenkarte;27.08.1938;2;JPG;23,737 MB
Mathäser Weißbierhalle_Speisenkarte_27.08.1938_03.jpg;Mathäser Weißbierhalle;;Speisenkarte;27.08.1938;3;JPG;13,184 MB
Mathäser-Bierstadt_Max und Moritz im Mathäser_ca. 1965;Mathäser-Bierstadt;;Max und Moritz im Mathäser;ca. 1965;;DIR;11,725 MB
Mathäser-Bierstadt_Max und Moritz im Mathäser_ca. 1965_01.jpg;Mathäser-Bierstadt;;Max und Moritz im Mathäser;ca. 1965;1;JPG;2,893 MB
Mathäser-Bierstadt_Max und Moritz im Mathäser_ca. 1965_02.jpg;Mathäser-Bierstadt;;Max und Moritz im Mathäser;ca. 1965;2;JPG;6,359 MB
Mathäser-Bierstadt_Max und Moritz im Mathäser_ca. 1965_03.jpg;Mathäser-Bierstadt;;Max und Moritz im Mathäser;ca. 1965;3;JPG;2,472 MB
Mathäser-Bierstadt_Speisekarte_ca. 1957;Mathäser-Bierstadt;;Speisekarte;ca. 1957;;DIR;23,638 MB
Mathäser-Bierstadt_Speisekarte_ca. 1957_01.jpg;Mathäser-Bierstadt;;Speisekarte;ca. 1957;1;JPG;6,588 MB
Mathäser-Bierstadt_Speisekarte_ca. 1957_02.jpg;Mathäser-Bierstadt;;Speisekarte;ca. 1957;2;JPG;5,314 MB
Mathäser-Bierstadt_Speisekarte_ca. 1957_03.jpg;Mathäser-Bierstadt;;Speisekarte;ca. 1957;3;JPG;5,490 MB
Mathäser-Bierstadt_Speisekarte_ca. 1957_04.jpg;Mathäser-Bierstadt;;Speisekarte;ca. 1957;4;JPG;6,245 MB
Mathäser-Bierstadt_Speisekarte_ca. 1958;Mathäser-Bierstadt;;Speisekarte;ca. 1958;;DIR;18,172 MB
Mathäser-Bierstadt_Speisekarte_ca. 1958_01.jpg;Mathäser-Bierstadt;;Speisekarte;ca. 1958;1;JPG;5,817 MB
Mathäser-Bierstadt_Speisekarte_ca. 1958_02.jpg;Mathäser-Bierstadt;;Speisekarte;ca. 1958;2;JPG;3,476 MB
Mathäser-Bierstadt_Speisekarte_ca. 1958_03.jpg;Mathäser-Bierstadt;;Speisekarte;ca. 1958;3;JPG;3,930 MB
Mathäser-Bierstadt_Speisekarte_ca. 1958_04.jpg;Mathäser-Bierstadt;;Speisekarte;ca. 1958;4;JPG;4,949 MB
Mathäser-Bierstadt_Weinkarte_ca. 1960;Mathäser-Bierstadt;;Weinkarte;ca. 1960;;DIR;32,350 MB
Mathäser-Bierstadt_Weinkarte_ca. 1960_01.jpg;Mathäser-Bierstadt;;Weinkarte;ca. 1960;1;JPG;9,556 MB
Mathäser-Bierstadt_Weinkarte_ca. 1960_02.jpg;Mathäser-Bierstadt;;Weinkarte;ca. 1960;2;JPG;7,443 MB
Mathäser-Bierstadt_Weinkarte_ca. 1960_03.jpg;Mathäser-Bierstadt;;Weinkarte;ca. 1960;3;JPG;8,685 MB
Mathäser-Bierstadt_Weinkarte_ca. 1960_04.jpg;Mathäser-Bierstadt;;Weinkarte;ca. 1960;4;JPG;6,665 MB
Mathäser-Bräu_Abend-Speisen-Karte_16.10.1921;Mathäser-Bräu;;Abend-Speisen-Karte;16.10.1921;;DIR;67,677 MB
Mathäser-Bräu_Abend-Speisen-Karte_16.10.1921_01.jpg;Mathäser-Bräu;;Abend-Speisen-Karte;16.10.1921;1;JPG;22,973 MB
Mathäser-Bräu_Abend-Speisen-Karte_16.10.1921_02.jpg;Mathäser-Bräu;;Abend-Speisen-Karte;16.10.1921;2;JPG;21,731 MB
Mathäser-Bräu_Abend-Speisen-Karte_16.10.1921_03.jpg;Mathäser-Bräu;;Abend-Speisen-Karte;16.10.1921;3;JPG;22,972 MB
Mathäserbräu-Bierhallen_F Mon 3443_Kriegs-Speisen-Karte_30.10.1916;Mathäserbräu-Bierhallen;F Mon 3443;Kriegs-Speisen-Karte;30.10.1916;;DIR;28,081 MB
Mathäserbräu-Bierhallen_F Mon 3443_Kriegs-Speisen-Karte_30.10.1916_01.jpg;Mathäserbräu-Bierhallen;;Kriegs-Speisen-Karte;30.10.1916;1;JPG;28,081 MB
Mathäserbräu-Bierhallen_F Mon 3453_Kriegs-Speisenkarte_20.04.1917;Mathäserbräu-Bierhallen;F Mon 3453;Kriegs-Speisenkarte;20.04.1917;;DIR;27,686 MB
Mathäserbräu-Bierhallen_F Mon 3453_Kriegs-Speisenkarte_20.04.1917_01.jpg;Mathäserbräu-Bierhallen;;Kriegs-Speisenkarte;20.04.1917;1;JPG;7,381 MB
Mathäserbräu-Bierhallen_F Mon 3453_Kriegs-Speisenkarte_20.04.1917_02.jpg;Mathäserbräu-Bierhallen;;Kriegs-Speisenkarte;20.04.1917;2;JPG;13,106 MB
Mathäserbräu-Bierhallen_F Mon 3453_Kriegs-Speisenkarte_20.04.1917_03.jpg;Mathäserbräu-Bierhallen;;Kriegs-Speisenkarte;20.04.1917;3;JPG;7,199 MB
Mathäserbräu-Bierhallen_Kriegs-Speisen-Karte_11.01.1917;Mathäserbräu-Bierhallen;;Kriegs-Speisen-Karte;11.01.1917;;DIR;27,601 MB
